"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy_mean","accuracy_std","accuracy_train_mean","accuracy_train_std","macro_mean","macro_std","micro_mean","micro_std","n_units","macro_train_mean","macro_train_std","micro_train_mean","micro_train_std"
"KNN_order2023-June-13_19-50-01_PMits","finished","-","mohammadsaleh-refahi","2023-June-13_19-50-01_PM, its, order","2023-06-19T18:35:38.000Z","6","","0.7729023104985813","0.005445331643518936","0.8696910327433229","0.0006137745961998547","0.4520029156963354","0.01820147436564158","0.7729023104985813","0.005445331643518896","2","","","",""
"DNN_order2023-June-16_17-01-50_PMits","finished","-","mohammadsaleh-refahi","2023-June-16_17-01-50_PM, its, order","2023-06-19T18:51:19.000Z","5","","0.7726411290322581","0.008981192953781216","7.320625","0.0185891142108386","0.3862695194416445","0.01823104505672094","0.77671260640454","0.009028519872467508","1","","","",""
"DNN_order2023-May-24_10-54-28_AMits","finished","-","mohammadsaleh-refahi","2023-May-24_10-54-28_AM, its, order","2023-06-19T16:45:48.000Z","6","","0.7725201612903225","0.009706797645232662","7.321229838709677","0.01878120235886775","0.384825938212548","0.016376252790192874","0.776591001216052","0.00975794818004741","1","","","",""
"KNN_phylum2023-June-12_21-54-57_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-12_21-54-57_PM, dairydb, phylum","2023-06-18T20:02:19.000Z","5","","0.7718294051627386","0.0021527579675053457","0.875635643125355","0.0005201532289893692","0.34383952201279994","0.017681712152336042","0.7718294051627386","0.002152757967505356","2","","","",""
"KNN_phylum2023-June-13_10-00-57_AMdairydb","finished","-","mohammadsaleh-refahi","2023-June-13_10-00-57_AM, dairydb, phylum","2023-06-18T21:01:26.000Z","6","","0.7711684748721785","0.003839177031593806","0.8743733632622522","0.0008413718552271423","0.3493644653572622","0.019235174688627742","0.7711684748721785","0.0038391770315938487","2","","","",""
"DNN_order2023-March-21_10-04_AMits","finished","-","mohammadsaleh-refahi","2023-March-21_10-04_AM, its, order","2023-06-19T19:48:14.000Z","5","","0.7710282258064516","0.006125881246464517","7.279637096774193","0.014648811183665988","0.3864440708149822","0.012244102877598686","0.7750912038913661","0.0061581619340218986","1","","","",""
"KNN_order2023-June-07_19-00-51_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-07_19-00-51_PM, dairydb, order","2023-06-18T17:47:41.000Z","137","","0.770651669651137","0.002789787502236939","0.8814845422535773","0.0005136278440808297","0.4445732915152549","0.006961986188498351","0.770651669651137","0.002789787502236943","2","","","",""
"DNN_phylum2023-May-13_13-02-00_PMdairydb","finished","-","mohammadsaleh-refahi","2023-May-13_13-02-00_PM, dairydb, phylum","2023-06-18T16:18:46.000Z","5","","0.770617529880478","0.005455176645980704","7.173568227091633","0.015530888702288772","0.32696335135979343","0.016388830466537184","0.7718668163112609","0.005464020304341809","1","","","",""
"KNN_6order_28s","finished","-","mohammadsaleh-refahi","28s, 6, order","2023-06-15T20:12:28.000Z","6","","0.767905330443597","0.0018700716288932997","0.8260462118888141","0.0011681173651831855","0.3758172906385378","0.0010643117399750657","0.767905330443597","0.001870071628893244","2","0.5292950853026204","0.014630871799260705","0.8260462118888141","0.0011681173651831855"
"DNN_order2023-June-13_19-46-44_PMits","finished","-","mohammadsaleh-refahi","2023-June-13_19-46-44_PM, its, order","2023-06-19T18:32:39.000Z","5","","0.766592741935484","0.004920387583292897","7.213911290322581","0.016167041906812948","0.3825909603749017","0.014661324766709428","0.7706323469801377","0.004946315851871251","1","","","",""
"DNN_order2023-June-07_19-00-51_PMits","finished","-","mohammadsaleh-refahi","2023-June-07_19-00-51_PM, its, order","2023-06-19T17:06:58.000Z","6","","0.7661693548387096","0.007689252875375955","7.645604838709677","0.01874930626534881","0.4092039353998233","0.009510702710237797","0.7702067288204296","0.007729771840669808","1","","","",""
"DNN_order2023-June-13_19-50-01_PMits","finished","-","mohammadsaleh-refahi","2023-June-13_19-50-01_PM, its, order","2023-06-19T18:35:31.000Z","6","","0.7654435483870967","0.007572275750500888","7.294072580645161","0.02535360617335844","0.39369447627192866","0.011605689039951869","0.7694770976895015","0.007612178298030862","1","","","",""
"DNN_order2023-June-08_18-43-57_PMits","finished","-","mohammadsaleh-refahi","2023-June-08_18-43-57_PM, its, order","2023-06-19T17:20:38.000Z","5","","0.7645564516129031","0.004487234755884961","8.162076612903226","0.011607529138465264","0.3864152508161693","0.010469422424872784","0.7685853263072558","0.004510880500443761","1","","","",""
"DNN_order2023-March-31_13-00_PMits","finished","-","mohammadsaleh-refahi","2023-March-31_13-00_PM, its, order","2023-06-19T17:23:58.000Z","5","","0.7643346774193549","0.01023727113118136","7.237520161290322","0.02097558204850771","0.3822018063240239","0.01193131957950719","0.7683623834616944","0.01029121702688683","1","","","",""
"KNN_order2023-June-16_17-01-50_PMdairydb","finished","-","mohammadsaleh-refahi","2023-June-16_17-01-50_PM, dairydb, order","2023-06-18T22:31:04.000Z","5","","0.7619727746036844","0.0031688027734664975","0.8764638934828387","0.0005142191965891676","0.4396709648816497","0.007234830011788595","0.7619727746036844","0.0031688027734665157","2","","","",""
"DNN_order2023-June-13_09-59-42_AMits","finished","-","mohammadsaleh-refahi","2023-June-13_09-59-42_AM, its, order","2023-06-19T18:17:16.000Z","5","","0.761633064516129","0.004190494002428752","7.188629032258065","0.02706591464724582","0.3721208911069604","0.012745290764390804","0.765646534252128","0.004212576054326402","1","","","",""
